date,code,floor,basic_price,ceiling_price,floor_price,close,open,high,low,average,adjust_close,adjust_open,adjust_high,adjust_low,adjust_average,change,adjust_change,percent_change,volume_match,value_match,volume_reconcile,value_reconcile,total_volume,total_value
7/26/23,ENF,OTC,0,0,0,30075.0,0,0,0,0,30075.0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/21/23,ENF,OTC,0,0,0,29666.999999999996,0,0,0,0,29666.999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0
7/19/23,ENF,OTC,0,0,0,29590.0,0,0,0,0,29590.0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/14/23,ENF,OTC,0,0,0,29534.000000000004,0,0,0,0,29534.000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0
7/12/23,ENF,OTC,0,0,0,29397.0,0,0,0,0,29397.0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/7/23,ENF,OTC,0,0,0,28962.0,0,0,0,0,28962.0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/5/23,ENF,OTC,0,0,0,29061.999999999996,0,0,0,0,29061.999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0
6/30/23,ENF,OTC,0,0,0,28819.000000000004,0,0,0,0,28819.000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0
6/28/23,ENF,OTC,0,0,0,28970.0,0,0,0,0,28970.0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/23/23,ENF,OTC,0,0,0,28810.0,0,0,0,0,28810.0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/21/23,ENF,OTC,0,0,0,28590.0,0,0,0,0,28590.0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/16/23,ENF,OTC,0,0,0,28443.0,0,0,0,0,28443.0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/14/23,ENF,OTC,0,0,0,28435.0,0,0,0,0,28435.0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/9/23,ENF,OTC,0,0,0,28256.999999999996,0,0,0,0,28256.999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0
6/8/23,ENF,OTC,0,0,0,28191.999999999996,0,0,0,0,28191.999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0
6/7/23,ENF,OTC,0,0,0,28533.0,0,0,0,0,28533.0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/6/23,ENF,OTC,0,0,0,28191.999999999996,0,0,0,0,28191.999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0
6/5/23,ENF,OTC,0,0,0,28191.999999999996,0,0,0,0,28191.999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0
6/2/23,ENF,OTC,0,0,0,28191.999999999996,0,0,0,0,28191.999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0
6/1/23,ENF,OTC,0,0,0,28199.0,0,0,0,0,28199.0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/31/23,ENF,OTC,0,0,0,28199.0,0,0,0,0,28199.0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/30/23,ENF,OTC,0,0,0,28033.0,0,0,0,0,28033.0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/29/23,ENF,OTC,0,0,0,27905.0,0,0,0,0,27905.0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/26/23,ENF,OTC,0,0,0,28033.0,0,0,0,0,28033.0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/25/23,ENF,OTC,0,0,0,27905.0,0,0,0,0,27905.0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/24/23,ENF,OTC,0,0,0,27989.0,0,0,0,0,27989.0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/23/23,ENF,OTC,0,0,0,27905.0,0,0,0,0,27905.0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/22/23,ENF,OTC,0,0,0,27905.0,0,0,0,0,27905.0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/19/23,ENF,OTC,0,0,0,27905.0,0,0,0,0,27905.0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/18/23,ENF,OTC,0,0,0,27908.0,0,0,0,0,27908.0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/17/23,ENF,OTC,0,0,0,27908.0,0,0,0,0,27908.0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/16/23,ENF,OTC,0,0,0,27749.000000000004,0,0,0,0,27749.000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0
5/15/23,ENF,OTC,0,0,0,27705.0,0,0,0,0,27705.0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/12/23,ENF,OTC,0,0,0,27749.000000000004,0,0,0,0,27749.000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0
5/11/23,ENF,OTC,0,0,0,27705.0,0,0,0,0,27705.0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/10/23,ENF,OTC,0,0,0,27705.0,0,0,0,0,27705.0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/9/23,ENF,OTC,0,0,0,27558.000000000004,0,0,0,0,27558.000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0
5/8/23,ENF,OTC,0,0,0,27558.000000000004,0,0,0,0,27558.000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0
5/5/23,ENF,OTC,0,0,0,27558.000000000004,0,0,0,0,27558.000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0
4/28/23,ENF,OTC,0,0,0,27510.0,0,0,0,0,27510.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/26/23,ENF,OTC,0,0,0,27500.0,0,0,0,0,27500.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/21/23,ENF,OTC,0,0,0,27693.0,0,0,0,0,27693.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/19/23,ENF,OTC,0,0,0,27804.000000000004,0,0,0,0,27804.000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0
4/14/23,ENF,OTC,0,0,0,27919.0,0,0,0,0,27919.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/12/23,ENF,OTC,0,0,0,27996.0,0,0,0,0,27996.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/7/23,ENF,OTC,0,0,0,27955.0,0,0,0,0,27955.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/5/23,ENF,OTC,0,0,0,27816.999999999996,0,0,0,0,27816.999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0
3/29/23,ENF,OTC,0,0,0,27756.999999999996,0,0,0,0,27756.999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0
3/28/23,ENF,OTC,0,0,0,36025.99999999999,0,0,0,0,36025.99999999999,0,0,0,0,0,0,0,0,0,0,0,0,0
3/24/23,ENF,OTC,0,0,0,27627.0,0,0,0,0,27627.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/22/23,ENF,OTC,0,0,0,27563.000000000004,0,0,0,0,27563.000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0
3/17/23,ENF,OTC,0,0,0,27717.0,0,0,0,0,27717.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/15/23,ENF,OTC,0,0,0,27628.0,0,0,0,0,27628.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/10/23,ENF,OTC,0,0,0,27950.0,0,0,0,0,27950.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/8/23,ENF,OTC,0,0,0,27647.0,0,0,0,0,27647.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/6/23,ENF,OTC,0,0,0,27721.0,0,0,0,0,27721.0,0,0,0,0,0,0,0,0,0,0,0,0,0
